timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1624890672274,42587,https://wikipedia.org/,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to wikipedia.org:443 [wikipedia.org/103.102.166.224, wikipedia.org/2001:df2:e500:ed1a:0:0:0:1] failed: Connection timed out: connect",Thread Group 1-1,text,false,,3002,0,1,1,https://wikipedia.org/,0,0,42586
1624890672012,42587,LAUNCH,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1,,false,,3002,0,1,1,null,0,271,42586
1624890744298,42233,https://en.wikipedia.org/,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to en.wikipedia.org:443 [en.wikipedia.org/103.102.166.224, en.wikipedia.org/2001:df2:e500:ed1a:0:0:0:1] failed: Connection timed out: connect",Thread Group 1-1,text,false,,3011,0,1,1,https://en.wikipedia.org/,0,0,42232
1624890786535,42134,https://en.wikipedia.org/api/rest_v1/page/summary/Fem_(magazine),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to en.wikipedia.org:443 [en.wikipedia.org/103.102.166.224, en.wikipedia.org/2001:df2:e500:ed1a:0:0:0:1] failed: Connection timed out: connect",Thread Group 1-1,text,false,,3011,0,1,1,https://en.wikipedia.org/api/rest_v1/page/summary/Fem_(magazine),0,0,42133
1624890714872,84367,ENGLISH,,"Number of samples in transaction : 2, number of failing samples : 2",Thread Group 1-1,,false,,6022,0,1,1,null,0,29433,84365
1624890843261,42168,https://en.wikipedia.org/wiki/Special:Random,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to en.wikipedia.org:443 [en.wikipedia.org/103.102.166.224, en.wikipedia.org/2001:df2:e500:ed1a:0:0:0:1] failed: Connection timed out: connect",Thread Group 1-1,text,false,,3011,0,1,1,https://en.wikipedia.org/wiki/Special:Random,0,0,42168
1624890828672,42168,RANDOM ARTICLE,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1,,false,,3011,0,1,1,null,0,14592,42168
1624890898618,42140,https://en.wikipedia.org/w/index.php?title=Hugh_Eyton-Jones&action=edit,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to en.wikipedia.org:443 [en.wikipedia.org/103.102.166.224, en.wikipedia.org/2001:df2:e500:ed1a:0:0:0:1] failed: Connection timed out: connect",Thread Group 1-1,text,false,,3011,0,1,1,https://en.wikipedia.org/w/index.php?action=edit&title=Hugh_Eyton-Jones,0,0,42140
1624890885432,42140,EDIT,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1,,false,,3011,0,1,1,null,0,13188,42140
1625042668469,45709,https://wikipedia.org/,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to wikipedia.org:443 [wikipedia.org/103.102.166.224, wikipedia.org/2001:df2:e500:ed1a:0:0:0:1] failed: Connection timed out: connect",Thread Group 1-1,text,false,,3002,0,1,1,https://wikipedia.org/,0,0,45708
1625042668348,45709,LAUNCH,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1,,false,,3002,0,1,1,null,0,151,45708
1625042769526,42259,https://en.wikipedia.org/,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to en.wikipedia.org:443 [en.wikipedia.org/103.102.166.224, en.wikipedia.org/2001:df2:e500:ed1a:0:0:0:1] failed: Connection timed out: connect",Thread Group 1-1,text,false,,3011,0,1,1,https://en.wikipedia.org/,0,0,42259
1625042811788,42137,https://en.wikipedia.org/api/rest_v1/page/summary/Fem_(magazine),Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to en.wikipedia.org:443 [en.wikipedia.org/103.102.166.224, en.wikipedia.org/2001:df2:e500:ed1a:0:0:0:1] failed: Connection timed out: connect",Thread Group 1-1,text,false,,3011,0,1,1,https://en.wikipedia.org/api/rest_v1/page/summary/Fem_(magazine),0,0,42137
1625042714208,84396,ENGLISH,,"Number of samples in transaction : 2, number of failing samples : 2",Thread Group 1-1,,false,,6022,0,1,1,null,0,55369,84396
1625042879787,42152,https://en.wikipedia.org/wiki/Special:Random,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to en.wikipedia.org:443 [en.wikipedia.org/103.102.166.224, en.wikipedia.org/2001:df2:e500:ed1a:0:0:0:1] failed: Connection timed out: connect",Thread Group 1-1,text,false,,3011,0,1,1,https://en.wikipedia.org/wiki/Special:Random,0,0,42152
1625042853973,42152,RANDOM ARTICLE,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1,,false,,3011,0,1,1,null,0,25818,42152
1625042938635,42149,https://en.wikipedia.org/w/index.php?title=Hugh_Eyton-Jones&action=edit,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to en.wikipedia.org:443 [en.wikipedia.org/103.102.166.224, en.wikipedia.org/2001:df2:e500:ed1a:0:0:0:1] failed: Connection timed out: connect",Thread Group 1-1,text,false,,3011,0,1,1,https://en.wikipedia.org/w/index.php?action=edit&title=Hugh_Eyton-Jones,0,0,42149
1625042921944,42149,EDIT,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1,,false,,3011,0,1,1,null,0,16693,42149
